latitude,longitude,depth_avg,navigable,time,wind_speed_10m,wind_direction_10m,navigable_wind,blocked_seamark,is_buoy,navigable_final
37.92213355630997,3.3870760000000004,-2802.957,True,,,,False,False,False,True
37.92213355630997,3.429076,-2803.2197,True,,,,False,False,False,True
37.92213355630997,3.4710760000000005,-2803.9985,True,,,,False,False,False,True
37.92213355630997,3.5130760000000003,-2801.945,True,,,,False,False,False,True
37.92213355630997,3.555076000000001,-2803.4705,True,,,,False,False,False,True
37.92213355630997,3.5970760000000004,-2802.7422,True,,,,False,False,False,True
37.92213355630997,3.6390760000000006,-2807.2852,True,,,,False,False,False,True
37.92213355630997,3.681076000000001,-2812.0684,True,,,,False,False,False,True
37.92213355630997,3.723076,-2816.0479,True,,,,False,False,False,True
37.92213355630997,3.765076000000001,-2855.902,True,,,,False,False,False,True
37.92213355630997,3.807076,-2867.8574,True,,,,False,False,False,True
37.92213355630997,3.8490760000000006,-2827.4998,True,,,,False,False,False,True
37.92213355630997,3.891076,-2804.2825,True,,,,False,False,False,True
37.92213355630997,3.933076,-2824.4827,True,,,,False,False,False,True
37.92213355630997,3.975076,-2833.7168,True,,,,False,False,False,True
37.92213355630997,4.017076,-2847.812,True,,,,False,False,False,True
37.92213355630997,4.059076,-2854.1975,True,,,,False,False,False,True
37.92213355630997,4.101076,-2850.6707,True,,,,False,False,False,True
37.92213355630997,4.143076,-2827.177,True,,,,False,False,False,True
37.92213355630997,4.1850760000000005,-2829.0,True,,,,False,False,False,True
37.92213355630997,4.227076,-2841.4062,True,,,,False,False,False,True
37.92213355630997,4.269076,-2806.6406,True,,,,False,False,False,True
37.92213355630997,4.311076,-2801.7017,True,,,,False,False,False,True
37.92213355630997,4.353076,-2813.7188,True,,,,False,False,False,True
37.92213355630997,4.395076,-2824.5813,True,,,,False,False,False,True
37.92213355630997,4.437076,-2854.2056,True,,,,False,False,False,True
37.92213355630997,4.479076,-2854.3179,True,,,,False,False,False,True
37.92213355630997,4.521076,-2857.6167,True,,,,False,False,False,True
37.92213355630997,4.563076,-2854.5454,True,,,,False,False,False,True
37.92213355630997,4.605076,-2856.6191,True,,,,False,False,False,True
37.92213355630997,4.647076,-2856.246,True,,,,False,False,False,True
37.92213355630997,4.689076,-2862.1636,True,,,,False,False,False,True
37.92213355630997,4.731076,-2848.275,True,,,,False,False,False,True
37.92213355630997,4.773076,-2841.6196,True,,,,False,False,False,True
37.92213355630997,4.815076,-2815.7017,True,,,,False,False,False,True
37.92213355630997,4.857076,-2803.8403,True,,,,False,False,False,True
37.92213355630997,4.899076,-2776.1794,True,,,,False,False,False,True
37.92213355630997,4.941076,-2830.0198,True,,,,False,False,False,True
37.92213355630997,4.9830760000000005,-2906.236,True,,,,False,False,False,True
37.92213355630997,5.025076,-2840.1401,True,,,,False,False,False,True
37.92213355630997,5.067076,-2829.0488,True,,,,False,False,False,True
37.92213355630997,5.109076,-2833.0874,True,,,,False,False,False,True
37.92213355630997,5.151076,-2836.1497,True,,,,False,False,False,True
37.97890289069657,-0.098924,-889.82904,True,,,,False,False,False,True
37.97890289069657,-0.0569239999999999,-954.34235,True,,,,False,False,False,True
37.97890289069657,-0.0149239999999999,-1027.8871,True,,,,False,False,False,True
37.97890289069657,0.027076,-1121.1603,True,,,,False,False,False,True
37.97890289069657,0.069076,-1181.4191,True,,,,False,False,False,True
37.97890289069657,0.111076,-1164.7882,True,,,,False,False,False,True
37.97890289069657,0.153076,-1126.5784,True,,,,False,False,False,True
37.97890289069657,0.195076,-1103.5573,True,,,,False,False,False,True
37.97890289069657,0.237076,-973.72687,True,,,,False,False,False,True
37.97890289069657,0.279076,-859.778,True,,,,False,False,False,True
37.97890289069657,0.321076,-990.94666,True,,,,False,False,False,True
37.97890289069657,0.363076,-1120.2567,True,,,,False,False,False,True
37.97890289069657,0.405076,-1221.8427,True,,,,False,False,False,True
37.97890289069657,0.447076,-1361.8412,True,,,,False,False,False,True
37.97890289069657,0.489076,-1651.9397,True,,,,False,False,False,True
37.97890289069657,0.531076,-1785.4215,True,,,,False,False,False,True
37.97890289069657,0.573076,-1772.0977,True,,,,False,False,False,True
37.97890289069657,0.6150760000000001,-1993.4762,True,,,,False,False,False,True
37.97890289069657,0.657076,-2090.884,True,,,,False,False,False,True
37.97890289069657,0.699076,-2083.8552,True,,,,False,False,False,True
37.97890289069657,0.7410760000000001,-2048.1807,True,,,,False,False,False,True
37.97890289069657,0.783076,-2005.538,True,,,,False,False,False,True
37.97890289069657,0.825076,-1919.9714,True,,,,False,False,False,True
37.97890289069657,0.8670760000000001,-1990.24,True,,,,False,False,False,True
